"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3233","ENSRNOG00000006731","Spc25",626.1816398,-2.802468263,0.109362639,-25.62546297,7.94e-145,2.36e-143
"3320","ENSRNOG00000006921","Rbl1",579.2332681,-2.001148965,0.126740741,-15.78931095,3.69e-56,4.17e-55
"3331","ENSRNOG00000006946","Arhgap9",13.80608926,-5.604212863,1.128873906,-4.964427675,6.89e-07,1.95e-06
"3336","ENSRNOG00000006956","Adamtsl1",120.5891988,-2.998902751,0.273592693,-10.96119462,5.87e-28,3.79e-27
"3364","ENSRNOG00000006996","Mms22l",682.3803743,-2.081212582,0.08776429,-23.71366061,2.61e-124,6.37e-123
"3369","ENSRNOG00000007002","Lif",269.1807214,-2.70163182,0.206126644,-13.10665988,3.02e-39,2.54e-38
"3381","ENSRNOG00000007031","Trim9",33.53664357,-2.643514868,0.357513355,-7.394170965,1.42e-13,5.77e-13
"3383","ENSRNOG00000007033","Sorcs2",36.66345269,-3.099096602,0.328347815,-9.438456595,3.78e-21,2.01e-20
"3425","ENSRNOG00000007110","Ankrd6",10.97932278,-2.806346006,0.610162683,-4.59934061,4.24e-06,1.14e-05
"3450","ENSRNOG00000007159","Ccl2",221.7403973,-4.176321856,0.201060413,-20.77147754,7.84e-96,1.45e-94
"3464","ENSRNOG00000007206","Cfap20dc",105.7761014,-2.564884421,0.194908076,-13.15945687,1.5e-39,1.27e-38
"3470","ENSRNOG00000007221","Dut",1336.299263,-2.182659768,0.10220086,-21.3565695,3.39e-101,6.63e-100
"3489","ENSRNOG00000007254","Ttc9",902.9938648,-2.385305925,0.08890421,-26.83006702,1.44e-158,4.9e-157
"3499","ENSRNOG00000007271","Map3k9",24.96962316,-2.564223903,0.371201824,-6.907896828,4.92e-12,1.87e-11
"3521","ENSRNOG00000007319","Trib3",1626.764996,-2.570303754,0.090651275,-28.35375171,7.52e-177,2.93e-175
"3529","ENSRNOG00000007331","Rragd",31.58570681,-3.381905808,0.456739421,-7.404453515,1.32e-13,5.35e-13
"3582","ENSRNOG00000007436","Tedc2",291.7355692,-2.628603938,0.134712564,-19.51268581,8.57e-85,1.42e-83
"3604","ENSRNOG00000007483","Ccnf",808.0455406,-3.082539505,0.088420397,-34.86231225,2.77e-266,1.9e-264
"3641","ENSRNOG00000007561","Glb1l2",346.5038394,-2.799758902,0.138651652,-20.19275544,1.13e-90,1.99e-89
"3686","ENSRNOG00000007657","Col27a1",1086.239666,-2.174474616,0.142994024,-15.20675172,3.19e-52,3.39e-51
"3705","ENSRNOG00000007687","Sema7a",2528.29439,-3.827118157,0.074302503,-51.5072577,0,0
"3763","ENSRNOG00000007805","Mybl2",1271.18165,-2.981326462,0.08218782,-36.27455347,4.08e-288,3.2e-286
"3769","ENSRNOG00000007816","AC131483.1",32.56884291,-2.158665082,0.361092785,-5.978145152,2.26e-09,7.49e-09
"3776","ENSRNOG00000007830","Apold1",80.38778084,-3.248016999,0.227662586,-14.26680181,3.52e-46,3.36e-45
"3814","ENSRNOG00000007906","Bub1b",788.8284216,-2.488345478,0.088938601,-27.97823948,2.99e-172,1.12e-170
"3815","ENSRNOG00000007907","Tmem178a",5.617219085,-2.369045684,0.88359944,-2.681130813,0.007337383,0.014288829
"3821","ENSRNOG00000007922","Cldn19",12.93011631,-2.205939277,0.858431562,-2.569732259,0.010177714,0.019367341
"3873","ENSRNOG00000008027","Cavin4",942.6393807,-3.210384717,0.095351135,-33.66907697,1.64e-248,1e-246
"3876","ENSRNOG00000008034","Tmeff1",1650.491525,-2.00782954,0.076241589,-26.33509569,7.6e-153,2.45e-151
"3882","ENSRNOG00000008040","Pimreg",705.804616,-2.844412566,0.098234292,-28.95539334,2.4e-184,9.91e-183
"3892","ENSRNOG00000008054","Igsf9",66.947082,-3.241858664,0.432019929,-7.503956296,6.19e-14,2.56e-13
"3893","ENSRNOG00000008055","Ccne2",903.3738835,-2.229361188,0.077480335,-28.77325196,4.64e-182,1.87e-180
"3904","ENSRNOG00000008074","Cyp11a1",3.641822196,-3.303107081,1.47968828,-2.23229928,0.025595189,0.045752106
"3906","ENSRNOG00000008078","Kcnh6",49.80669523,-3.299304903,0.338653007,-9.742434983,1.99e-22,1.1e-21
"3913","ENSRNOG00000008091","Gins1",298.8008965,-2.597844352,0.126896842,-20.47209616,3.82e-93,6.86e-92
"3917","ENSRNOG00000008100","Rgs20",7.307555987,-3.702574212,0.848108127,-4.365686511,1.27e-05,3.27e-05
"3927","ENSRNOG00000008115","Arhgap11a",1714.48939,-2.361794057,0.065191699,-36.22844759,2.17e-287,1.7e-285
"3953","ENSRNOG00000008165","Tpx2",2349.014052,-2.123561091,0.056020799,-37.90665492,0,0
"3955","ENSRNOG00000008168","Wnt5b",29.18012937,-2.165350792,0.425818127,-5.0851541,3.67e-07,1.06e-06
"3984","ENSRNOG00000008223","Cnr1",103.3638325,-3.263935535,0.179424277,-18.19115892,6.06e-74,8.73e-73
"4032","ENSRNOG00000008323","Pitpnm3",299.6275381,-3.761620009,0.222415456,-16.91258364,3.63e-64,4.57e-63
"4071","ENSRNOG00000008412","Gprc5a",449.8025196,-2.091769475,0.110967414,-18.8503039,2.92e-79,4.48e-78
"4085","ENSRNOG00000008445","Dact1",43.51805933,-3.689108614,0.702603772,-5.250624553,1.52e-07,4.5e-07
"4088","ENSRNOG00000008450","unkown",3073.740992,-2.510196122,0.084281584,-29.78344742,6.4e-195,2.88e-193
"4095","ENSRNOG00000008463","Rundc3b",11.15824324,-2.457924475,0.605289561,-4.06074156,4.89e-05,0.000120676
"4101","ENSRNOG00000008471","Kif21b",2312.569757,-2.380120378,0.215334528,-11.05312929,2.12e-28,1.38e-27
"4105","ENSRNOG00000008478","Mmp13",2.474160944,-5.596320885,1.430147303,-3.913108022,9.11e-05,0.000219044
"4137","ENSRNOG00000008539","Lgals2",11.48607997,-2.837928746,0.732524891,-3.874173807,0.000106987,0.000255585
"4211","ENSRNOG00000008666","Etl4",367.5896193,-5.112283966,0.251893001,-20.2954586,1.41e-91,2.5e-90
"4234","ENSRNOG00000008709","Arhgap32",863.2702672,-2.299922466,0.108721756,-21.15420639,2.52e-99,4.88e-98
"4238","ENSRNOG00000008716","Nefh",11.30666761,-4.259388484,0.806532397,-5.281112697,1.28e-07,3.83e-07
"4256","ENSRNOG00000008754","Flvcr2",283.2988771,-2.325729493,0.122121055,-19.04445962,7.3e-81,1.14e-79
"4269","ENSRNOG00000008785","Klf5",1010.726159,-2.460439745,0.082210544,-29.92851817,8.38e-197,3.84e-195
"4274","ENSRNOG00000008797","Tmpo",2673.193194,-2.033698714,0.047385237,-42.91840362,0,0
"4296","ENSRNOG00000008841","Orc1",382.9463632,-2.32529724,0.108462585,-21.43870389,5.82e-102,1.15e-100
"4316","ENSRNOG00000008880","Nrk",380.6138393,-2.492638882,0.203705196,-12.23650121,1.98e-34,1.52e-33
"4333","ENSRNOG00000008915","Prima1",63.34682599,-3.170980305,0.390500808,-8.120291271,4.65e-16,2.09e-15
"4356","ENSRNOG00000008949","Synpo2l",391.9419456,-2.849772991,0.152713342,-18.66093008,1.03e-77,1.55e-76
"4394","ENSRNOG00000009031","Gucy2c",5.62961455,-4.180724151,1.119454994,-3.734606729,0.000188009,0.000440623
"4421","ENSRNOG00000009074","AABR07017902.1",7.799266788,-2.049948294,0.685083923,-2.99225865,0.002769215,0.005697823
"4438","ENSRNOG00000009106","unkown",32.74137473,-2.29995759,0.566986678,-4.056457902,4.98e-05,0.000122828
"4454","ENSRNOG00000009144","Lad1",8.833396987,-5.077658112,1.247719801,-4.069549997,4.71e-05,0.000116388
"4540","ENSRNOG00000009298","Fbxo44",7.632320094,-2.199454055,0.654207663,-3.362012062,0.000773767,0.001699447
"4557","ENSRNOG00000009332","Rec114",13.43990049,-3.358997613,0.805011043,-4.1726106,3.01e-05,7.55e-05
"4559","ENSRNOG00000009334","Knstrn",819.2930067,-2.245802174,0.096994127,-23.1540016,1.32e-118,3.08e-117
"4578","ENSRNOG00000009370","Tbkbp1",6.124583616,-2.340288911,1.040606913,-2.248965369,0.024514699,0.043968117
"4616","ENSRNOG00000009447","Fam221a",74.91855257,-2.061317198,0.254589134,-8.096642473,5.65e-16,2.53e-15
"4619","ENSRNOG00000009450","Hcn4",481.6902599,-3.238287498,0.167226206,-19.36471313,1.53e-83,2.48e-82
"4626","ENSRNOG00000009465","Sfrp2",9.140388201,-5.060040417,1.088854445,-4.647122892,3.37e-06,9.1e-06
"4643","ENSRNOG00000009503","Depdc1",377.9673637,-2.410190389,0.116649113,-20.66188352,7.63e-95,1.39e-93
"4656","ENSRNOG00000009531","Col9a3",6.167372117,-3.152978727,1.030390073,-3.059985542,0.002213477,0.004610792
"4679","ENSRNOG00000009572","Hgfac",4.403571593,-2.199205904,0.86897437,-2.530806408,0.011380064,0.021488767
"4736","ENSRNOG00000009691","Lrrn2",24.74925819,-4.26560784,0.488878996,-8.725283509,2.66e-18,1.29e-17
"4756","ENSRNOG00000009734","Akr1b10",10955.18631,-2.086224028,0.059833455,-34.8671832,2.34e-266,1.61e-264
"4784","ENSRNOG00000009790","Kcnk3",33.62605228,-2.522215676,0.389125831,-6.481748251,9.07e-11,3.24e-10
"4800","ENSRNOG00000009822","Tlr2",58.7022152,-5.415774349,0.413315572,-13.10324294,3.15e-39,2.65e-38
"4949","ENSRNOG00000010121","Lef1",192.7271738,-3.241800456,0.214965373,-15.08057046,2.17e-51,2.26e-50
"4981","ENSRNOG00000010177","Fancd2os",4.616686915,-2.914469331,0.837550936,-3.479751743,0.000501879,0.001125608
"4998","ENSRNOG00000010210","Slc7a11",478.1771876,-2.784485423,0.183652606,-15.16169841,6.34e-52,6.7e-51
