"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5558","ENSRNOG00000011263","Plac9",321.2301502,3.747847287,0.150667909,24.87488747,1.39e-136,3.89e-135
"5560","ENSRNOG00000011271","Mcc",1190.413512,2.648458108,0.208798774,12.68426082,7.23e-37,5.79e-36
"5671","ENSRNOG00000011475","Srcin1",4.817182468,3.251467255,0.748661667,4.343039586,1.41e-05,3.61e-05
"5673","ENSRNOG00000011478","Ackr4",269.6244353,2.516494288,0.103264199,24.36947472,3.6e-131,9.54e-130
"5697","ENSRNOG00000011521","Filip1",449.1717559,4.705212344,0.117728314,39.96670114,0,0
"5715","ENSRNOG00000011557","S100a8",8.638700967,8.419853828,1.274812719,6.604777078,3.98e-11,1.45e-10
"5765","ENSRNOG00000011648","Aqp1",31232.72447,2.944276313,0.028378215,103.7512856,0,0
"5766","ENSRNOG00000011649","Epb42",9.353740399,4.472106502,0.811465905,5.511145291,3.57e-08,1.1e-07
"5773","ENSRNOG00000011659","Alpk3",26.11304619,5.404524558,0.496821939,10.87819223,1.46e-27,9.35e-27
"5784","ENSRNOG00000011680","Il16",14.22558421,2.287746039,0.504235887,4.537055171,5.7e-06,1.52e-05
"5790","ENSRNOG00000011696","Lifr",361.8897554,4.020097977,0.190992698,21.04843809,2.36e-98,4.5e-97
"5814","ENSRNOG00000011750","Fam180a",65.91768425,10.38412927,1.18946326,8.730096698,2.54e-18,1.23e-17
"5837","ENSRNOG00000011800","F3",1381.362721,3.107709289,0.059509071,52.2224468,0,0
"5839","ENSRNOG00000011808","Ghrhr",12.81227239,3.193327674,0.481794387,6.627988533,3.4e-11,1.24e-10
"5842","ENSRNOG00000011815","Sgk1",3014.014209,3.029521869,0.050493997,59.99766381,0,0
"5877","ENSRNOG00000011882","Gab2",551.8537,2.070667406,0.108044188,19.16500496,7.25e-82,1.15e-80
"5888","ENSRNOG00000011907","Krt23",66.17536973,7.90473714,0.612748353,12.90046248,4.47e-38,3.68e-37
"5893","ENSRNOG00000011913","Cp",375.249862,4.270460549,0.118569415,36.01654398,4.61e-284,3.51e-282
"5908","ENSRNOG00000011946","Ptn",97.60324541,3.003608261,0.198416092,15.13792674,9.1e-52,9.58e-51
"5921","ENSRNOG00000011971","C1s",1413.693676,2.502279555,0.061594709,40.62491067,0,0
"5952","ENSRNOG00000012027","Bco1",22.28974532,9.802239676,1.2122489,8.085995933,6.17e-16,2.75e-15
"5956","ENSRNOG00000012036","Pcsk5",498.6901744,2.682923903,0.097425824,27.53811861,6.14e-167,2.21e-165
"5959","ENSRNOG00000012040","Slc25a48",13.06136608,8.063810121,1.238439316,6.511267863,7.45e-11,2.67e-10
